272115
88	186	12366
7286	191	10988
5957	220	7482
3365	147	3410
7487	38	12226
8950	108	8740
3721	96	12750
10029	192	11470
2671	46	2285
6976	127	5940
10517	17	12612
12481	36	11360
12947	99	9751
8446	146	616
13552	190	8490
2626	46	8681
177	72	1734
2325	96	7739
2998	213	177
1864	46	3295
12005	192	11652
2869	164	13307
12122	229	1167
6576	107	6215
10378	231	2928
1095	130	901
8776	231	731
916	143	3598
8853	146	616
2711	35	1572
10391	1	177
10664	164	11002
996	198	14271
6808	58	8114
12889	184	306
10377	146	280
7033	192	7403
6978	187	177
2126	96	6359
10321	215	266
597	97	12418
10101	187	177
2639	46	2419
4166	107	13952
9691	206	9063
4611	147	1432
1065	34	12803
10191	234	10107
9035	215	591
11319	217	10107
9971	88	196
14280	133	10507
13316	2	2054
12220	56	14441
2722	96	9574
12304	236	924
2587	147	4451
5900	96	9611
5078	198	14271
10651	97	11346
11726	46	8913
916	143	2487
7043	38	14235
11938	187	15
424	198	14271
8302	223	13214
7687	79	6075
13735	20	10694
6239	143	401
6408	36	11360
3307	164	12409
1643	147	3078
997	198	14271
12092	206	7015
2164	198	14271
9808	127	10602
5590	89	14460
6851	42	624
1551	115	2775
11199	206	10541
5737	36	11360
1066	1	1409
10511	144	14540
13361	93	9745
10706	146	177
3667	198	14271
8857	146	77
7775	190	7815
8039	123	77
9043	206	12227
1718	188	13051
725	96	7775
1752	143	12510
5720	42	1264
13242	81	365
6228	206	10842
9262	124	7815
6189	46	2977
4465	107	14376
9446	187	41
7130	58	14397
9014	202	9675
888	86	4253
12431	97	11245
1658	171	3892
12149	191	2241
12467	102	6651
13419	192	9020
4242	79	9808
9590	202	6669
11735	146	98
3253	96	10967
6770	220	14182
49	230	49
538	35	337
12448	37	8411
13730	20	7515
4042	164	11579
1561	114	1946
7892	56	7228
10508	149	13425
9925	152	10107
2400	67	13372
7746	32	36
2666	56	8396
3679	56	11816
5089	164	11579
14503	17	8253
12732	146	735
11454	159	4229
12892	108	8740
888	56	12616
10531	192	12943
2723	164	8424
13926	31	14506
13499	157	11738
2643	134	96
7273	36	11360
226	56	10414
4691	46	2383
9670	46	13541
9773	206	5957
8492	85	7763
563	107	13884
3760	96	6598
6238	231	12881
5188	46	5468
11321	34	13775
13900	192	9730
108	55	839
28	60	10214
9658	190	13285
10237	99	5561
3699	46	2968
753	115	2510
2204	107	13469
6723	200	665
2393	198	14271
310	96	11701
9888	206	12227
9033	146	162
14176	156	937
7397	187	177
14043	56	11786
591	209	5854
12497	124	8490
371	30	6273
12662	176	2583
10055	46	10194
10128	146	4339
10971	146	280
13450	189	6967
1660	107	11995
2499	96	7486
14239	46	14263
9404	174	10854
1467	129	3876
8978	147	5319
187	72	4240
1251	107	7946
