400
0	75	324
1	76	324
2	77	325
3	78	326
4	79	328
5	80	329
6	81	330
7	82	331
8	75	333
9	83	334
10	36	335
11	84	336
12	85	338
13	86	339
14	87	340
15	2	341
16	88	343
17	89	344
18	78	345
19	90	346
20	11	348
21	91	349
22	92	350
23	93	348
24	94	352
25	85	353
26	11	354
27	65	355
28	95	357
29	88	358
30	96	359
31	78	360
32	69	362
33	44	362
34	2	363
35	97	364
36	95	366
37	98	367
38	7	368
39	96	369
40	38	371
41	87	372
42	87	373
43	99	374
44	100	376
45	2	377
46	101	378
47	102	379
48	78	381
49	86	382
50	81	383
51	103	384
52	104	386
53	78	387
54	105	388
55	106	389
56	107	391
57	108	392
58	109	393
59	110	394
60	111	396
61	78	397
62	112	398
63	96	399
64	113	324
65	96	401
66	7	402
67	98	403
68	55	405
69	114	406
70	115	407
71	116	408
72	42	410
73	30	411
74	117	412
75	94	413
76	65	415
77	118	416
78	119	417
79	120	418
80	121	420
81	83	421
82	122	420
83	95	422
84	95	424
85	123	425
86	38	426
87	124	427
88	78	429
89	75	430
90	96	431
91	125	432
92	95	434
93	126	435
94	65	436
95	127	437
96	78	439
97	48	440
98	128	441
99	6	442
0	1	201
1	2	202
2	3	203
3	4	204
4	5	206
5	6	207
6	6	208
7	7	209
8	5	211
9	8	212
10	9	213
11	10	214
12	11	216
13	12	217
14	13	218
15	5	219
16	14	221
17	1	222
18	2	223
19	15	224
20	5	226
21	16	227
22	17	228
23	18	229
24	16	231
25	19	232
26	20	233
27	21	228
28	14	235
29	13	236
30	7	237
31	10	238
32	22	240
33	23	241
34	24	242
35	25	243
36	5	245
37	26	246
38	27	247
39	28	248
40	29	250
41	30	251
42	31	247
43	32	252
44	31	254
45	33	255
46	34	256
47	35	257
48	36	259
49	37	260
50	36	261
51	36	262
52	38	264
53	20	265
54	39	266
55	40	267
56	31	269
57	33	270
58	41	271
59	42	272
60	43	274
61	44	275
62	45	276
63	46	277
64	47	279
65	48	280
66	49	281
67	50	282
68	51	284
69	52	285
70	0	286
71	53	287
72	54	289
73	55	290
74	56	291
75	57	292
76	58	294
77	59	295
78	60	296
79	2	297
80	14	299
81	12	300
82	61	301
83	62	302
84	14	304
85	63	305
86	64	306
87	65	307
88	66	309
89	67	310
90	45	311
91	33	312
92	68	314
93	69	315
94	70	316
95	9	317
96	71	319
97	72	320
98	73	321
99	74	322
100	1	201
101	2	202
102	3	203
103	4	204
104	5	206
105	6	207
106	6	208
107	7	209
108	5	211
109	8	212
110	9	213
111	10	214
112	11	216
113	12	217
114	13	218
115	5	219
116	14	221
117	1	222
118	2	223
119	15	224
120	5	226
121	16	227
122	17	228
123	18	229
124	16	231
125	19	232
126	20	233
127	21	228
128	14	235
129	13	236
130	7	237
131	10	238
132	22	240
133	23	241
134	24	242
135	25	243
136	5	245
137	26	246
138	27	247
139	28	248
140	29	250
141	30	251
142	31	247
143	32	252
144	31	254
145	33	255
146	34	256
147	35	257
148	36	259
149	37	260
150	36	261
151	36	262
152	38	264
153	20	265
154	39	266
155	40	267
156	31	269
157	33	270
158	41	271
159	42	272
160	43	274
161	44	275
162	45	276
163	46	277
164	47	279
165	48	280
166	49	281
167	50	282
168	51	284
169	52	285
170	0	286
171	53	287
172	54	289
173	55	290
174	56	291
175	57	292
176	58	294
177	59	295
178	60	296
179	2	297
180	14	299
181	12	300
182	61	301
183	62	302
184	14	304
185	63	305
186	64	306
187	65	307
188	66	309
189	67	310
190	45	311
191	33	312
192	68	314
193	69	315
194	70	316
195	9	317
196	71	319
197	72	320
198	73	321
199	74	322
100	75	324
101	76	324
102	77	325
103	78	326
104	79	328
105	80	329
106	81	330
107	82	331
108	75	333
109	83	334
110	36	335
111	84	336
112	85	338
113	86	339
114	87	340
115	2	341
116	88	343
117	89	344
118	78	345
119	90	346
120	11	348
121	91	349
122	92	350
123	93	348
124	94	352
125	85	353
126	11	354
127	65	355
128	95	357
129	88	358
130	96	359
131	78	360
132	69	362
133	44	362
134	2	363
135	97	364
136	95	366
137	98	367
138	7	368
139	96	369
140	38	371
141	87	372
142	87	373
143	99	374
144	100	376
145	2	377
146	101	378
147	102	379
148	78	381
149	86	382
150	81	383
151	103	384
152	104	386
153	78	387
154	105	388
155	106	389
156	107	391
157	108	392
158	109	393
159	110	394
160	111	396
161	78	397
162	112	398
163	96	399
164	113	324
165	96	401
166	7	402
167	98	403
168	55	405
169	114	406
170	115	407
171	116	408
172	42	410
173	30	411
174	117	412
175	94	413
176	65	415
177	118	416
178	119	417
179	120	418
180	121	420
181	83	421
182	122	420
183	95	422
184	95	424
185	123	425
186	38	426
187	124	427
188	78	429
189	75	430
190	96	431
191	125	432
192	95	434
193	126	435
194	65	436
195	127	437
196	78	439
197	48	440
198	128	441
199	6	442
